Executing /workspace/m1_dev/python_env/../adarand/fine_tuning.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1}
Epoch 183/200, Loss: 3.300777372352483e-05, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.9398034398034398
Epoch 184/200, Loss: 3.477851813597496e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9367321867321867
Epoch 185/200, Loss: 3.0073514947291898e-05, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9398034398034398
Epoch 186/200, Loss: 3.3187356668238935e-05, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9373464373464373
Epoch 187/200, Loss: 3.333319530596126e-05, Top-1 Acc: 0.7825552825552825, Top-5 Acc: 0.9391891891891891
Epoch 188/200, Loss: 3.1535263906097735e-05, Top-1 Acc: 0.7837837837837838, Top-5 Acc: 0.9385749385749386
Epoch 189/200, Loss: 3.377213233628977e-05, Top-1 Acc: 0.7819410319410319, Top-5 Acc: 0.9404176904176904
Epoch 190/200, Loss: 3.375149107793205e-05, Top-1 Acc: 0.7831695331695332, Top-5 Acc: 0.9391891891891891
Epoch 191/200, Loss: 3.346185571293109e-05, Top-1 Acc: 0.7782555282555282, Top-5 Acc: 0.9416461916461917
Epoch 192/200, Loss: 3.376261843808412e-05, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.937960687960688
Epoch 193/200, Loss: 3.328414275703978e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9391891891891891
Epoch 194/200, Loss: 3.398841995357067e-05, Top-1 Acc: 0.7819410319410319, Top-5 Acc: 0.9404176904176904
Epoch 195/200, Loss: 3.389799055337061e-05, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.9391891891891891
Epoch 196/200, Loss: 3.3978540503813214e-05, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.9385749385749386
Epoch 197/200, Loss: 3.244138585384495e-05, Top-1 Acc: 0.7782555282555282, Top-5 Acc: 0.941031941031941
Epoch 198/200, Loss: 3.447991362495698e-05, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.9391891891891891
Epoch 199/200, Loss: 3.3426898015259635e-05, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.9367321867321867
Test Top-1 Acc: 0.7767690585748042, Top-5 Acc: 0.9345852505907225
